"Microservice","Test","Autoscaling","PKG_Energy","Response_Time"
"carts",1,"HPA_Based",29.71,707
"front-end",1,"HPA_Based",19.55,703
"user",1,"HPA_Based",3.71,722
"carts-db",1,"HPA_Based",19.98,NA
"catalogue",1,"HPA_Based",6.71,641
"catalogue-db",1,"HPA_Based",6.63,NA
"orders",1,"HPA_Based",24.87,NA
"orders-db",1,"HPA_Based",7.2,NA
"payment",1,"HPA_Based",3.16,NA
"queue-master",1,"HPA_Based",14.85,NA
"rabbitmq",1,"HPA_Based",9.34,NA
"session-db",1,"HPA_Based",3.16,NA
"shipping",1,"HPA_Based",19.14,NA
"user-db",1,"HPA_Based",6.74,NA
"carts",2,"HPA_Based",30.2,815
"front-end",2,"HPA_Based",10.11,748
"user",2,"HPA_Based",3.17,825
"carts-db",2,"HPA_Based",6.35,NA
"catalogue",2,"HPA_Based",3.18,723
"catalogue-db",2,"HPA_Based",3.18,NA
"orders",2,"HPA_Based",33.83,NA
"orders-db",2,"HPA_Based",7.14,NA
"payment",2,"HPA_Based",3.21,NA
"queue-master",2,"HPA_Based",31.18,NA
"rabbitmq",2,"HPA_Based",10.04,NA
"session-db",2,"HPA_Based",3.21,NA
"shipping",2,"HPA_Based",29.8,NA
"user-db",2,"HPA_Based",6.43,NA
"carts",3,"HPA_Based",50.3,848
"front-end",3,"HPA_Based",10.12,692
"user",3,"HPA_Based",3.29,858
"carts-db",3,"HPA_Based",3.41,NA
"catalogue",3,"HPA_Based",3.19,762
"catalogue-db",3,"HPA_Based",3.13,NA
"orders",3,"HPA_Based",29.67,NA
"orders-db",3,"HPA_Based",7.29,NA
"payment",3,"HPA_Based",3.25,NA
"queue-master",3,"HPA_Based",31.7,NA
"rabbitmq",3,"HPA_Based",11.49,NA
"session-db",3,"HPA_Based",3.25,NA
"shipping",3,"HPA_Based",28.28,NA
"user-db",3,"HPA_Based",3.13,NA
"carts",1,"Carbon_Aware_KEDA",14.53,761
"front-end",1,"Carbon_Aware_KEDA",9.59,713
"user",1,"Carbon_Aware_KEDA",3.17,769
"carts-db",1,"Carbon_Aware_KEDA",5.34,NA
"catalogue",1,"Carbon_Aware_KEDA",3.26,694
"catalogue-db",1,"Carbon_Aware_KEDA",3.21,NA
"orders",1,"Carbon_Aware_KEDA",15.02,NA
"orders-db",1,"Carbon_Aware_KEDA",4.98,NA
"payment",1,"Carbon_Aware_KEDA",3.26,NA
"queue-master",1,"Carbon_Aware_KEDA",14.18,NA
"rabbitmq",1,"Carbon_Aware_KEDA",6.48,NA
"session-db",1,"Carbon_Aware_KEDA",3.17,NA
"shipping",1,"Carbon_Aware_KEDA",14.74,NA
"user-db",1,"Carbon_Aware_KEDA",3.17,NA
"carts",2,"Carbon_Aware_KEDA",14.71,1090
"front-end",2,"Carbon_Aware_KEDA",6.7,929
"user",2,"Carbon_Aware_KEDA",3.17,1173
"carts-db",2,"Carbon_Aware_KEDA",6.15,NA
"catalogue",2,"Carbon_Aware_KEDA",3.18,979
"catalogue-db",2,"Carbon_Aware_KEDA",3.12,NA
"orders",2,"Carbon_Aware_KEDA",29.94,NA
"orders-db",2,"Carbon_Aware_KEDA",3.17,NA
"payment",2,"Carbon_Aware_KEDA",3.16,NA
"queue-master",2,"Carbon_Aware_KEDA",13.97,NA
"rabbitmq",2,"Carbon_Aware_KEDA",7.06,NA
"session-db",2,"Carbon_Aware_KEDA",3.16,NA
"shipping",2,"Carbon_Aware_KEDA",13.57,NA
"user-db",2,"Carbon_Aware_KEDA",3.17,NA
"carts",3,"Carbon_Aware_KEDA",13.25,928
"front-end",3,"Carbon_Aware_KEDA",8.61,804
"user",3,"Carbon_Aware_KEDA",3.18,944
"carts-db",3,"Carbon_Aware_KEDA",3.14,NA
"catalogue",3,"Carbon_Aware_KEDA",3.19,843
"catalogue-db",3,"Carbon_Aware_KEDA",3.11,NA
"orders",3,"Carbon_Aware_KEDA",27.11,NA
"orders-db",3,"Carbon_Aware_KEDA",6.29,NA
"payment",3,"Carbon_Aware_KEDA",3.12,NA
"queue-master",3,"Carbon_Aware_KEDA",14.59,NA
"rabbitmq",3,"Carbon_Aware_KEDA",10.13,NA
"session-db",3,"Carbon_Aware_KEDA",3.17,NA
"shipping",3,"Carbon_Aware_KEDA",12.97,NA
"user-db",3,"Carbon_Aware_KEDA",3.13,NA
