"Test","Autoscaling","PKG_Energy","Response_Time","Scenario"
1," HPA_Based",174.75,1418,"Read_Intensive"
2," HPA_Based",181.03,1686,"Read_Intensive"
3," HPA_Based",191.5,1781,"Read_Intensive"
1," Carbon_Aware_KEDA",104.1,1740,"Read_Intensive"
2," Carbon_Aware_KEDA",114.23,2721,"Read_Intensive"
3," Carbon_Aware_KEDA",114.99,2792,"Read_Intensive"
1," HPA_Based",250.58,1404.9,"Write_Intensive"
2," HPA_Based",256.47,1690.7,"Write_Intensive"
3," HPA_Based",259.47,1854.2,"Write_Intensive"
1," Carbon_Aware_KEDA",164.02,1876,"Write_Intensive"
2," Carbon_Aware_KEDA",156.22,2016.5,"Write_Intensive"
3," Carbon_Aware_KEDA",159.88,2093.1,"Write_Intensive"
